HISTID,Year,Month,Day,Hour,Minute,P1,P2
7666,2015,12,16,8,0,0.0,0.0
7666,2015,12,16,8,5,0.0,0.0
7666,2015,12,16,8,10,0.0,0.0
7666,2015,12,16,8,15,0.0,0.0
7666,2015,12,16,8,20,0.0,0.0
7666,2015,12,16,8,25,0.0,0.0
7666,2015,12,16,8,30,0.0,0.0
7666,2015,12,16,8,35,0.0,0.0
7666,2015,12,16,8,40,0.0,0.0
7666,2015,12,16,8,45,0.0,0.0
7666,2015,12,16,8,50,0.0,0.0
7666,2015,12,16,8,55,0.0,0.0
7666,2015,12,16,9,0,0.0,0.0
7666,2015,12,16,9,5,0.0,0.0
7666,2015,12,16,9,10,0.0,0.0
7666,2015,12,16,9,15,0.0,0.0
7666,2015,12,16,9,20,0.0,0.0
7666,2015,12,16,9,25,0.0,0.0
7666,2015,12,16,9,30,0.0,0.0
7666,2015,12,16,9,35,0.0,0.0
7666,2015,12,16,9,40,0.0,0.0
7666,2015,12,16,9,45,0.0,0.0
7666,2015,12,16,9,50,0.0,0.0
7666,2015,12,16,9,55,0.0,0.0
7666,2015,12,16,10,0,0.0,0.0
7666,2015,12,16,10,5,0.0,0.0
7666,2015,12,16,10,10,0.0,0.0
7666,2015,12,16,10,15,0.0,0.0
7666,2015,12,16,10,20,0.0,0.0
7666,2015,12,16,10,25,0.0,0.0
7666,2015,12,16,10,30,0.0,0.0
7666,2015,12,16,10,35,0.0,0.0
7666,2015,12,16,10,40,0.0,0.0
7666,2015,12,16,10,45,0.0,0.0
7666,2015,12,16,10,50,0.0,0.0
7666,2015,12,16,10,55,0.0,0.0
7666,2015,12,16,11,0,0.0,0.0
7666,2015,12,16,11,5,0.0,0.0
7666,2015,12,16,11,10,0.0,0.0
7666,2015,12,16,11,15,0.0,0.0
7666,2015,12,16,11,20,0.0,0.0
7666,2015,12,16,11,25,0.0,0.0
7666,2015,12,16,11,30,0.0,0.0
7666,2015,12,16,11,35,0.0,0.0
7666,2015,12,16,11,40,0.0,0.0
7666,2015,12,16,11,45,0.0,0.0
7666,2015,12,16,11,50,0.0,0.0
7666,2015,12,16,11,55,0.0,0.0
7666,2015,12,16,12,0,0.0,0.0
7666,2015,12,16,12,5,0.0,0.0
7666,2015,12,16,12,10,0.0,0.0
7666,2015,12,16,12,15,0.0,0.0
7666,2015,12,16,12,20,0.0,0.0
7666,2015,12,16,12,25,0.0,0.0
7666,2015,12,16,12,30,0.0,0.0
7666,2015,12,16,12,35,0.0,0.0
7666,2015,12,16,12,40,0.0,0.0
7666,2015,12,16,12,45,0.0,0.0
7666,2015,12,16,12,50,0.0,0.0
7666,2015,12,16,12,55,0.0,0.0
7666,2015,12,16,13,0,0.0,0.0
7666,2015,12,16,13,5,0.0,0.0
7666,2015,12,16,13,10,0.0,0.0
7666,2015,12,16,13,15,0.0,0.0
7666,2015,12,16,13,20,0.0,0.0
7666,2015,12,16,13,25,0.0,0.0
7666,2015,12,16,13,30,0.0,0.0
7666,2015,12,16,13,35,0.0,0.0
7666,2015,12,16,13,40,0.0,0.0
7666,2015,12,16,13,45,0.0,0.0
7666,2015,12,16,13,50,0.0,0.0
7666,2015,12,16,13,55,0.0,0.0
7666,2015,12,16,14,0,0.0,0.0
7666,2015,12,16,14,5,0.0,0.0
7666,2015,12,16,14,10,0.0,0.0
7666,2015,12,16,14,15,0.0,0.0
7666,2015,12,16,14,20,0.0,0.0
7666,2015,12,16,14,25,0.0,0.0
7666,2015,12,16,14,30,0.0,0.0
7666,2015,12,16,14,35,0.0,0.0
7666,2015,12,16,14,40,0.0,0.0
7666,2015,12,16,14,45,0.0,0.0
7666,2015,12,16,14,50,0.0,0.0
7666,2015,12,16,14,55,0.0,0.0
7666,2015,12,16,15,0,0.0,0.0
7666,2015,12,16,15,5,0.0,0.0
7666,2015,12,16,15,10,0.0,0.0
7666,2015,12,16,15,15,0.0,0.0
7666,2015,12,16,15,20,0.0,0.0
7666,2015,12,16,15,25,0.0,0.0
7666,2015,12,16,15,30,0.0,0.0
7666,2015,12,16,15,35,0.0,0.0
7666,2015,12,16,15,40,0.0,0.0
7666,2015,12,16,15,45,0.0,0.0
7666,2015,12,16,15,50,0.0,0.0
7666,2015,12,16,15,55,0.0,0.0
7666,2015,12,16,16,0,0.0,0.0
7666,2015,12,16,16,5,0.0,0.0
7666,2015,12,16,16,10,0.0,0.0
7666,2015,12,16,16,15,0.0,0.0
7666,2015,12,16,16,20,0.0,0.0
7666,2015,12,16,16,25,0.0,0.0
7666,2015,12,16,16,30,0.0,0.0
7666,2015,12,16,16,35,0.0,0.0
7666,2015,12,16,16,40,0.0,0.0
7666,2015,12,16,16,45,0.0,0.0
7666,2015,12,16,16,50,0.0,0.0
7666,2015,12,16,16,55,0.0,0.0
7666,2015,12,16,17,0,0.0,0.0
7666,2015,12,16,17,5,0.0,0.0
7666,2015,12,16,17,10,0.0,0.0
7666,2015,12,16,17,15,0.0,0.0
7666,2015,12,16,17,20,0.0,0.0
7666,2015,12,16,17,25,0.0,0.0
7666,2015,12,16,17,30,0.0,0.0
7666,2015,12,16,17,35,0.0,0.0
7666,2015,12,16,17,40,0.0,0.0
7666,2015,12,16,17,45,0.0,0.0
7666,2015,12,16,17,50,0.0,0.0
7666,2015,12,16,17,55,0.0,0.0
7666,2015,12,16,18,0,0.0,0.0
7666,2015,12,16,18,5,0.0,0.0
7666,2015,12,16,18,10,0.0,0.0
7666,2015,12,16,18,15,0.0,0.0
7666,2015,12,16,18,20,0.0,0.0
7666,2015,12,16,18,25,0.0,0.0
7666,2015,12,16,18,30,0.0,0.0
